Train;Test;Classifier;FeatureSet;Measure;Value;IsBaseline
Boston;Seattle;NaiveBayes;+TIME+LOD, nGrams: 2;Weighted Precision;0.754037;0
Boston;Seattle;NaiveBayes;+TIME+LOD, nGrams: 2;Weighted Recall;0.757532;0
Boston;Seattle;NaiveBayes;+TIME+LOD, nGrams: 2;Weighted F-Measure;0.747897;0
Boston;SanFrancisco;NaiveBayes;+TIME+LOD, nGrams: 2;Percent Correct;0.862162;0
Boston;SanFrancisco;NaiveBayes;+TIME+LOD, nGrams: 2;Weighted Precision;0.855808;0
Boston;SanFrancisco;NaiveBayes;+TIME+LOD, nGrams: 2;Weighted Recall;0.862162;0
Boston;SanFrancisco;NaiveBayes;+TIME+LOD, nGrams: 2;Weighted F-Measure;0.857000;0
Boston;NYC;NaiveBayes;+TIME+LOD, nGrams: 2;Percent Correct;0.859925;0
Boston;NYC;NaiveBayes;+TIME+LOD, nGrams: 2;Weighted Precision;0.853648;0
Boston;NYC;NaiveBayes;+TIME+LOD, nGrams: 2;Weighted Recall;0.859925;0
Boston;NYC;NaiveBayes;+TIME+LOD, nGrams: 2;Weighted F-Measure;0.849695;0
Boston;Dublin;NaiveBayes;+TIME+LOD, nGrams: 2;Percent Correct;0.936270;0
Boston;Dublin;NaiveBayes;+TIME+LOD, nGrams: 2;Weighted Precision;0.931060;0
Boston;Dublin;NaiveBayes;+TIME+LOD, nGrams: 2;Weighted Recall;0.936270;0
Boston;Dublin;NaiveBayes;+TIME+LOD, nGrams: 2;Weighted F-Measure;0.932514;0
Boston;Chicago;NaiveBayes;+TIME+LOD, nGrams: 2;Percent Correct;0.912668;0
Boston;Chicago;NaiveBayes;+TIME+LOD, nGrams: 2;Weighted Precision;0.908929;0
Boston;Chicago;NaiveBayes;+TIME+LOD, nGrams: 2;Weighted Recall;0.912668;0
Boston;Chicago;NaiveBayes;+TIME+LOD, nGrams: 2;Weighted F-Measure;0.909188;0
Boston;Memphis;NaiveBayes;+TIME+LOD, nGrams: 2;Percent Correct;0.813494;0
Boston;Memphis;NaiveBayes;+TIME+LOD, nGrams: 2;Weighted Precision;0.811596;0
Boston;Memphis;NaiveBayes;+TIME+LOD, nGrams: 2;Weighted Recall;0.813494;0
Boston;Memphis;NaiveBayes;+TIME+LOD, nGrams: 2;Weighted F-Measure;0.806353;0
Boston;London;NaiveBayes;+TIME+LOD, nGrams: 2;Percent Correct;0.846262;0
Boston;London;NaiveBayes;+TIME+LOD, nGrams: 2;Weighted Precision;0.834725;0
Boston;London;NaiveBayes;+TIME+LOD, nGrams: 2;Weighted Recall;0.846262;0
Boston;London;NaiveBayes;+TIME+LOD, nGrams: 2;Weighted F-Measure;0.808277;0
Boston;Sydney;NaiveBayes;+TIME+LOD, nGrams: 2;Percent Correct;0.839254;0
Boston;Sydney;NaiveBayes;+TIME+LOD, nGrams: 2;Weighted Precision;0.845086;0
Boston;Sydney;NaiveBayes;+TIME+LOD, nGrams: 2;Weighted Recall;0.839254;0
Boston;Sydney;NaiveBayes;+TIME+LOD, nGrams: 2;Weighted F-Measure;0.825103;0
Boston;Brisbane;NaiveBayes;+TYPES, nGrams: 2;Percent Correct;0.840046;0
Boston;Brisbane;NaiveBayes;+TYPES, nGrams: 2;Weighted Precision;0.840621;0
Boston;Brisbane;NaiveBayes;+TYPES, nGrams: 2;Weighted Recall;0.840046;0
Boston;Brisbane;NaiveBayes;+TYPES, nGrams: 2;Weighted F-Measure;0.821454;0
Boston;Seattle;NaiveBayes;+TYPES, nGrams: 2;Percent Correct;0.754628;0
